,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
32,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,1,checklist,5,0.6470588235294118,0.3529411764705882,"[585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602]",0.9639131758331952,0.7459976825982324,0.8054859996813035,0.5,0.5,17,13,so shockingly high,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",Shock or surprise,True
33,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,1,checklist,6,0.6470588235294118,0.3529411764705882,"[844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857]",0.9228925625751762,0.9228925625751762,0.7849756930522941,0.5,0.5,17,13,wind up hooked,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",Slang,True
70,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,1,checklist,13,0.5882352941176471,0.4117647058823529,"[643, 644, 645, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655]",0.9533671277799589,0.9533671277799589,0.7708012109488029,0.5,0.5,17,13,common belief,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",Nothing wrong with language,True
4,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,755877c4-7dc1-401e-894a-04b9d70e70e7,Language Specialist V3,1,checklist,5,0.7647058823529411,0.2352941176470589,"[633, 634, 635, 636, 637, 638, 639, 640]",0.53168936353211,0.53168936353211,0.6481976229425256,0.5,0.5,17,13,shocking,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",Shock or surprise,True
73,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,12,ordinal,1,0.7126789855198616,0.7126789855198616,L,L,L,0.3563394927599308,0.5,0.5,17,4,,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
55,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,12,ordinal,1,0.8699796700269826,0.8699796700269826,L,L,L,0.4349898350134913,0.5,0.5,17,4,,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
25,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,755877c4-7dc1-401e-894a-04b9d70e70e7,Language Specialist V3,12,ordinal,1,0.8452069275999237,0.8452069275999237,"[2085, 2086, 2087, 2088, 2089]",0.06465535892513774,0.06465535892513774,0.4549311432625307,0.5,0.5,17,4,spent,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
27,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,755877c4-7dc1-401e-894a-04b9d70e70e7,Language Specialist V3,15,ordinal,8,0.736715495319318,0.736715495319318,[],,,0.736715495319318,0.5,0.5,17,10,,"How confident are you about your answers, on the whole?",8,True
57,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language Specialist V3,15,ordinal,8,0.6698650881895992,0.6698650881895992,[],,,0.6698650881895992,0.5,0.5,17,10,,"How confident are you about your answers, on the whole?",8,True
75,1712,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,f108dd02-4869-4485-96c6-6b7ab391c281,Language Specialist V3,15,ordinal,9,0.8076771336748605,0.8076771336748605,[],,,0.8076771336748605,0.5,0.5,17,10,,"How confident are you about your answers, on the whole?",9,True
